recid	D	earnings	prevearn	edu
304727	1	1750	315	12
304729	1	3263	0	8
304732	0	16143	3500	10
304733	0	8697	0	9
304734	0	0	0	14
304736	0	13481	0	12
304738	1	22487	0	14
304740	1	1335	18000	17
304742	1	87	0	12
304745	1	0	0	12
304746	1	435	1014	11
304747	0	0	1100	9
304748	1	0	0	10
304749	1	46098	20	15
304753	1	3375	0	13
304757	0	13393	6080	13
304759	1	948	3000	14
304763	1	0	0	12
304768	1	39423	7900	12
304769	1	18925	200	11
304770	0	83	350	12
304774	0	29082	0	8
304775	1	27844	6800	12
304778	1	16629	700	12
304780	0	0	300	9
304781	1	0	4000	12
304783	1	12582	100	12
304784	1	2929	6000	12
304791	0	10530	2817	9
304792	1	65604	11200	12
304793	0	29964	6000	11
304795	0	18663	8000	12
304797	1	19739	3000	16
304798	0	14521	340	10
304803	1	0	7200	12
304804	0	11679	4600	14
304805	0	5387	0	10
304809	1	120	0	12
304811	0	19740	260	12
304812	1	6603	0	8
304813	1	13859	2100	12
304816	1	21840	8038	16
304820	1	2778	7198	14
304821	1	28050	4000	13
304823	1	36600	2616	10
304827	0	9207	6000	12
304835	0	4308	0	14
304838	1	21120	98	12
304839	1	9923	500	17
304840	0	81153	12769	12
304841	0	0	2000	12
304842	1	7378	4000	12
304843	0	22999	6682	12
304844	1	290	0	12
304846	1	36597	5200	16
304848	0	11476	1000	12
304852	1	6759	350	8
304853	1	5697	2900	11
304856	0	0	0	12
304858	1	58848	9000	15
304859	0	27914	3360	12
304861	1	29864	3400	13
304865	1	13198	900	12
304867	1	10885	2000	11
304868	1	19959	1700	9
304869	1	1170	200	8
304870	0	6446	0	12
304871	1	2421	1500	12
304872	1	0	0	8
304873	0	40038	98	12
304877	1	25611	0	16
304880	1	9640	12000	11
304883	0	2658	700	12
304887	0	0	300	13
304889	1	11196	0	14
304891	1	13135	2000	8
304897	0	0	0	10
304899	1	13241	8160	12
304900	0	20691	2000	12
304905	0	38102	6400	11
304907	1	26458	0	12
304911	0	611	3800	13
304912	1	31474	5200	14
304913	0	10765	3000	9
304918	1	44316	7800	13
304920	1	11190	6670	12
304924	0	23878	20	12
304925	1	0	0	12
304928	1	14718	2300	11
304929	1	5082	35	12
304931	1	24830	160	8
304932	1	35137	4500	12
304935	1	22716	627	9
304936	1	22746	4000	10
304940	1	2181	0	9
304941	1	26383	5600	12
304942	1	15203	0	12
304943	1	69459	0	12
304945	0	3195	0	10
304946	1	744	600	13
304948	1	5966	3352	12
304950	0	27726	5000	12
304951	0	7245	5000	9
304953	0	4128	0	12
304954	1	30326	0	12
304958	0	15116	360	12
304963	1	24892	11000	12
304967	0	39228	0	11
304968	1	37708	5000	14
304970	0	16665	9550	12
304973	0	0	0	12
304976	1	2783	100	8
304978	1	29318	4800	12
304984	1	33513	5000	13
304985	1	3008	100	12
304987	1	4384	0	11
304989	0	162	10000	12
304996	1	15813	2500	9
304998	0	53049	9749	12
305001	0	17539	360	10
305003	0	642	4028	12
305004	1	30132	3000	12
305009	0	30	0	14
305012	0	17305	1359	11
305013	0	3060	0	17
305014	1	27092	7000	11
305015	1	45	200	10
305016	1	0	0	8
305019	1	8616	0	12
305020	1	8529	0	13
305023	1	20607	3000	14
305029	1	59349	19670	12
305030	1	47532	1373	9
305032	1	20039	15	12
305034	0	27954	200	12
305038	1	0	754	9
305039	1	0	1200	14
305042	1	20877	5000	13
305043	1	0	0	12
305045	1	9550	670	12
305047	1	201	4700	12
305051	1	5314	2080	12
305052	1	29691	0	12
305053	1	46494	1500	12
305056	1	11703	4800	12
305061	1	11276	1000	14
305062	1	0	98	12
305067	1	27557	27746	12
305068	0	31131	360	16
305069	0	53031	9076	8
305071	1	117	4277	11
305072	1	98	0	12
305073	1	25340	7000	12
305074	1	7407	3300	12
305075	1	210	8331	12
305078	0	20416	5680	12
305080	1	201	0	9
305081	1	6567	2000	12
305084	1	3285	0	8
305085	1	6845	0	12
305086	0	0	0	11
305087	1	4142	9000	11
305089	1	2286	2000	14
305090	1	0	0	14
305093	1	56748	4000	15
305094	1	19096	4000	12
305095	1	2878	1600	8
305099	1	84426	15000	13
305101	1	9916	7000	10
305107	0	11037	6000	12
305108	0	17223	4500	10
305114	1	0	4485	11
305115	1	1643	1900	13
305119	0	0	0	12
305122	1	6845	4900	12
305123	1	7379	4000	16
305125	1	20485	0	8
305131	1	1074	0	11
305137	1	9283	5000	12
305138	1	16590	6000	14
305142	1	11911	1100	14
305146	0	40253	140	11
305147	1	1390	1800	12
305149	1	25021	6000	12
305151	1	6828	2500	9
305154	1	0	0	9
305155	1	45	2144	8
305156	1	10848	0	12
305159	0	34011	5200	13
305160	0	39323	8000	8
305165	1	29640	0	12
305168	0	0	3000	9
305170	0	0	14080	12
305171	0	9837	1300	13
305172	1	1560	0	11
305176	1	43929	1660	16
305179	0	4965	0	12
305181	1	14953	900	13
305182	1	35444	10500	12
305184	0	8907	0	10
305191	1	8913	0	8
305194	0	46243	14000	13
305196	1	0	2330	12
305197	1	33	0	12
305207	1	23541	7340	12
305211	1	3948	1300	10
305212	0	6689	2012	12
305214	1	2901	0	8
305222	1	16320	0	12
305223	0	0	0	12
305224	0	67741	5280	11
305226	1	1484	190	12
305229	1	22080	8	8
305231	1	94715	14000	12
305232	1	0	5000	14
305233	1	37456	1600	12
305235	0	16476	0	12
305239	0	933	320	17
305242	0	57357	129	13
305243	0	12459	0	12
305246	0	15467	5000	10
305251	1	43447	9000	8
305252	1	104	3500	14
305256	1	8487	10000	11
305260	1	6798	0	12
305261	1	0	0	12
305264	0	402	0	10
305268	1	28349	299	12
305269	1	1274	16700	14
305274	1	84	0	10
305276	0	33750	7000	14
305277	0	27805	9870	12
305283	1	24389	4000	10
305284	1	22816	0	12
305286	1	24894	14000	12
305287	0	9078	20000	11
305288	0	8157	2900	12
305289	0	9373	3000	12
305290	0	19707	4692	11
305291	0	17976	1000	13
305292	0	2320	2500	8
305296	1	21705	3500	12
305297	0	0	0	8
305300	1	25483	300	11
305306	0	0	8000	12
305308	1	55296	5000	8
305310	1	3405	870	12
305311	0	0	0	12
305312	1	117	0	9
305314	1	42174	3640	12
305318	0	13173	0	12
305321	1	435	3200	11
305322	1	0	0	12
305326	0	21325	1200	10
305328	0	0	7192	12
305329	1	18393	4500	12
305331	1	4212	0	10
305332	1	2752	4300	9
305341	1	39125	4500	12
305343	0	3433	350	8
305344	1	41820	3000	16
305345	1	544	130	15
305348	0	10353	3033	11
305352	1	484	0	11
305353	0	37641	0	8
305354	1	54109	0	15
305355	0	16648	8000	16
305357	1	1465	0	12
305359	1	21880	5000	11
305361	1	3782	900	12
305363	1	2066	0	13
305365	0	33909	84	13
305366	0	40968	3967	13
305370	1	25551	1211	10
305373	1	0	0	13
305376	0	9800	6400	10
305377	0	16651	7150	10
305379	0	15621	8645	11
305382	0	32901	2000	12
305383	1	0	80	12
305385	1	10885	7000	10
305387	0	23211	6000	12
305393	0	17082	1314	12
305394	0	13305	0	8
305395	0	12663	0	9
305396	1	0	6300	12
305397	1	610	1058	10
305398	1	4704	1000	14
305400	1	0	0	12
305401	1	31440	1564	9
305403	1	21793	1651	12
305404	1	16712	390	10
305406	1	29524	4000	12
305407	0	30306	4600	12
305408	1	36967	3060	12
305409	1	4087	0	12
305410	0	15075	400	8
305411	1	5337	2580	9
305416	1	18823	7000	12
305420	1	39747	4700	10
305427	0	27628	0	12
305431	0	20715	0	12
305441	1	3117	0	12
305444	0	14304	6802	12
305447	1	19065	5000	12
305449	0	9620	516	12
305451	1	17646	0	14
305453	1	3720	1400	18
305457	0	8793	5161	12
305459	1	23757	1800	12
305462	1	19380	600	13
305463	0	0	62	9
305465	0	2447	5000	12
305466	1	10627	800	10
305467	1	13425	2400	8
305470	0	9840	3000	12
305471	1	11793	0	12
305475	1	3435	1942	10
305478	1	22941	5385	9
305482	0	43551	9000	14
305485	1	21726	0	12
305487	1	27138	3000	15
305489	1	17896	200	13
305493	1	3749	1729	11
305499	1	19481	9000	12
305502	1	8231	2927	12
305504	1	77388	6000	8
305505	1	1830	10307	14
305507	1	0	104	8
305508	0	0	0	8
305509	1	53349	16800	12
305511	1	12618	0	12
305512	1	1125	800	11
305520	1	64578	8280	15
305523	1	3967	300	9
305524	1	24938	3200	12
305527	1	162	77	8
305531	1	16743	3342	9
305534	1	44574	3000	12
305536	1	14508	2500	16
305538	1	16735	500	16
305539	1	2621	0	10
305540	0	16692	7800	12
305543	1	5017	0	12
305547	1	20494	3000	12
305550	0	43293	9000	8
305553	1	0	0	12
305554	1	25168	5800	12
305555	1	22375	1024	16
305557	1	34023	5022	9
305558	0	0	600	12
305559	1	5652	800	12
305561	0	2179	1100	12
305564	1	3630	300	12
305565	1	0	80	14
305566	1	0	125	9
305568	1	17081	5500	12
305570	1	2143	3000	12
305572	1	16464	3200	8
305576	0	5172	1000	12
305577	1	28910	13000	12
305580	0	64594	20000	9
305582	1	12861	0	10
305584	0	12861	864	8
305588	0	34215	10500	14
305589	1	37774	0	8
305590	0	22239	0	10
305591	1	7896	6390	10
305592	1	18125	6000	12
305593	1	9395	0	9
305596	1	35925	1200	12
305597	1	9843	7000	12
305599	1	16995	4000	12
305605	0	2502	0	10
305608	1	33927	1500	12
305611	1	162	13000	10
305614	0	5217	0	10
305616	0	0	0	8
305617	1	11010	800	15
305621	1	0	0	10
305622	1	72118	8000	12
305627	1	1530	0	11
305628	1	8193	0	12
305629	1	44522	3000	13
305631	1	3784	6000	9
305636	1	38563	2500	8
305637	1	48243	895	14
305638	1	0	0	11
305639	1	0	0	8
305643	1	14985	2200	13
305646	1	0	0	16
305647	0	4137	0	8
305649	1	13333	225	9
305651	1	12804	0	12
305655	1	20120	8000	9
305656	0	3984	0	12
305657	1	66	1000	10
305661	1	25562	3000	13
305662	0	21042	0	8
305663	1	9823	6500	12
305664	1	32418	0	12
305665	0	25022	10000	10
305666	0	9258	0	12
305667	1	0	0	12
305669	1	15138	3912	12
305670	0	4776	1760	12
305673	1	16632	0	13
305676	0	0	2202	10
305677	0	34721	1000	12
305679	1	8757	2160	10
305681	1	2919	0	12
305684	1	12520	7600	12
305686	0	268	297	12
305687	1	25047	4200	11
305688	1	162	0	11
305689	0	279	220	12
305692	1	4937	0	12
305693	1	7588	1000	12
305694	1	27916	425	12
305695	1	0	3204	12
305696	0	0	8500	18
305697	1	34040	5154	8
305701	1	27809	3000	12
305703	1	42857	2500	12
305704	1	36786	0	11
305709	1	29855	1500	11
305711	1	294	3000	11
305714	1	41892	1600	15
305715	1	10067	900	8
305716	1	0	0	7
305718	1	10135	0	10
305719	0	46623	2000	15
305723	1	23696	3000	11
305724	1	0	0	8
305725	1	5047	6039	11
305729	0	17603	0	8
305733	0	640	4600	12
305735	0	1533	500	11
305736	1	21564	4500	12
305737	1	45276	11000	12
305738	1	23851	8000	13
305739	1	8634	5000	11
305741	0	32942	12000	12
305745	1	18687	1500	12
305747	1	2550	0	10
305748	0	0	0	12
305749	1	2748	2700	12
305750	0	40171	11699	17
305751	1	30993	0	10
305753	1	3242	0	16
305754	1	22513	5	8
305755	1	37502	0	12
305757	0	42515	2400	12
305758	1	14991	1900	14
305760	1	2259	0	10
305761	0	12158	0	12
305763	0	369	0	11
305765	0	19263	5000	13
305766	1	8109	2426	10
305770	1	26563	0	11
305771	1	29283	2500	14
305772	0	11576	3000	11
305773	1	4624	400	13
305774	1	36913	11000	11
305775	0	19659	350	12
305778	1	1182	4800	13
305779	1	21435	4000	13
305780	1	0	0	12
305783	0	47871	0	10
305784	1	6661	4186	12
305787	1	26415	1200	12
305788	1	42021	22000	11
305789	1	2250	0	11
305790	0	15687	1700	17
305791	0	26698	12381	17
305793	0	17598	18000	15
305797	0	16454	4400	10
305800	0	6995	0	10
305801	1	2348	570	11
305802	1	26088	6000	12
305804	0	0	0	12
305807	0	5826	2095	12
305808	1	4365	0	14
305809	1	10872	0	12
305810	1	4839	1000	10
305811	1	0	3600	14
305813	1	41225	0	12
305814	1	4521	0	10
305815	0	22318	0	13
305822	1	3261	0	12
305824	0	19857	700	11
305825	0	6099	2536	9
305828	1	27732	4200	16
305832	1	57149	7488	12
305834	0	30435	8000	12
305839	0	2545	999	9
305843	0	25542	0	10
305845	0	1211	6500	8
305847	1	28417	5400	11
305850	0	15665	5600	12
305851	1	16922	5044	11
305857	1	18154	2418	8
305858	1	48795	2868	14
305861	1	18075	0	10
305862	0	6265	0	13
305863	1	19717	3500	10
305864	1	14982	8700	11
305866	1	21917	6000	12
305868	1	13422	0	11
305869	0	49146	10000	11
305873	1	37421	500	12
305875	1	0	6000	12
305877	1	4378	3200	12
305878	1	0	0	11
305880	1	5439	1430	14
305887	1	8570	7000	14
305889	1	0	0	12
305891	1	42877	900	15
305892	1	14680	3300	8
305893	1	17727	400	12
305894	1	19851	4000	12
305896	0	672	1200	9
305898	1	14754	1300	9
305900	0	711	0	12
305901	1	9166	0	16
305903	0	0	14000	16
305904	1	678	0	13
305905	1	14682	1472	15
305906	1	60730	14700	13
305908	1	38774	500	13
305910	1	30004	8000	9
305911	1	8819	2645	12
305912	1	99	3000	12
305913	1	28762	8000	12
305918	1	62820	11980	13
305921	0	2970	0	12
305925	0	13006	465	10
305927	1	21706	8190	12
305928	1	20415	1200	14
305930	1	1986	200	12
305931	1	26260	0	11
305932	1	1569	800	10
305939	1	22677	0	8
305940	0	648	1200	12
305944	0	93869	0	14
305945	0	486	1200	12
305952	1	0	0	12
305953	1	954	1277	10
305965	1	26346	7050	12
305967	0	0	2000	11
305970	1	20641	7000	11
305977	1	11518	8137	12
305978	0	13722	0	11
305980	0	0	0	12
305983	0	1711	0	12
305985	1	40837	850	11
305987	0	0	0	12
305989	0	8268	10400	14
305990	1	10701	90	12
305997	1	41388	4000	11
305998	0	0	0	12
305999	1	5035	0	12
306004	1	5551	400	11
306007	1	8902	3000	12
306014	0	11286	1200	12
306018	1	35142	0	10
306019	1	10695	9323	15
306020	0	1359	300	10
306023	1	20769	6430	12
306024	0	1452	0	11
306027	1	12340	4000	11
306029	0	49635	11531	11
306034	1	0	0	8
306036	1	17540	0	12
306038	1	65574	0	11
306046	1	2127	0	12
306047	0	19347	2000	13
306055	1	1371	5400	10
306056	1	0	165	12
306059	1	0	1375	12
306065	0	9993	0	12
306066	0	7209	0	14
306068	1	13206	1750	13
306071	1	0	0	12
306073	0	44309	1109	11
306076	0	2746	300	12
306079	0	30158	12000	9
306080	0	4468	4232	9
306081	0	0	500	12
306083	0	48783	4990	16
306084	1	15135	1000	10
306086	0	35796	0	10
306087	1	21801	2400	12
306089	0	13251	0	12
306092	1	23565	900	12
306093	1	5949	2600	12
306096	1	195	750	10
306097	1	36477	0	12
306099	0	65362	5000	12
306101	1	0	2800	12
306103	1	35200	8290	13
306104	0	0	0	8
306105	0	32624	30000	12
306106	0	12050	1500	12
306110	0	0	0	10
306111	0	46633	125	12
306113	0	11619	3216	12
306114	0	19827	4595	12
306115	1	8416	0	13
306117	1	3059	3600	10
306121	1	17669	600	11
306122	0	11612	3744	13
306123	1	2248	0	10
306132	0	2850	0	10
306136	0	20335	6900	13
306137	1	6990	1569	12
306140	0	0	15000	12
306141	1	0	0	9
306142	1	35402	0	10
306145	1	27544	0	12
306146	1	5227	3986	10
306152	1	30687	1400	10
306153	1	18402	25	10
306154	1	5013	500	12
306155	1	6425	0	12
306157	1	16151	0	11
306159	1	10838	31	12
306163	0	11987	5600	12
306164	1	24531	6000	12
306165	1	6879	0	12
306166	1	606	4000	13
306167	1	28479	5400	12
306171	1	13674	60	12
306173	1	13299	1720	12
306175	1	26084	0	12
306176	1	120	0	8
306179	0	15624	20000	13
306181	1	2817	421	12
306184	1	5973	0	8
306186	1	7521	13500	16
306187	1	0	18000	8
306188	1	24899	11000	12
306191	0	23467	6000	14
306194	0	300	425	11
306195	0	4071	300	11
306196	1	6466	400	16
306198	0	12542	98	12
306201	1	8435	4251	12
306204	1	10289	1200	13
306206	0	53353	2000	12
306208	0	18804	1200	12
306209	0	12840	250	12
306211	1	117	120	12
306213	0	14106	2988	12
306215	0	19739	2200	8
306218	0	35548	4000	13
306220	1	0	98	10
306223	1	48344	0	12
306225	0	1047	12000	12
306226	0	17040	7000	12
306227	0	20773	7848	10
306229	0	4288	3000	10
306232	0	1946	2500	11
306233	1	0	3200	14
306234	1	4485	4163	8
306236	1	17339	1117	14
306237	1	31653	0	14
306239	1	9834	10027	12
306241	1	522	1000	13
306242	1	1223	120	8
306247	0	27	4697	12
306249	1	0	7800	11
306250	1	36839	0	12
306252	1	23491	800	15
306256	0	21931	8000	12
306262	0	34539	8903	12
306263	0	0	0	12
306264	0	222	0	11
306266	1	18360	500	12
306267	1	20891	0	9
306270	0	15893	0	8
306272	0	2613	2200	10
306276	0	24600	13440	10
306277	1	0	0	12
306278	1	6634	0	8
306279	1	214	2250	13
306282	1	37272	3900	16
306283	1	28476	1750	11
306285	0	4722	5000	11
306286	0	684	6000	12
306291	0	20118	1500	15
306292	0	3358	1684	11
306294	0	34029	7000	12
306295	0	0	0	7
306296	0	3385	110	10
306297	1	20771	3538	10
306302	0	18702	0	11
306305	0	13314	229	13
306308	0	8431	5300	12
306309	1	12399	2666	15
306311	0	19407	10500	12
306313	1	14445	5000	14
306314	1	13414	0	13
306316	1	2949	0	10
306319	1	45	0	12
306320	1	543	0	8
306321	1	17471	850	10
306323	0	3057	5720	12
306328	0	13749	0	11
306330	1	15176	888	12
306331	0	0	0	11
306335	0	732	0	12
306336	1	21308	98	12
306337	0	463	0	12
306339	1	0	133	14
306342	1	21386	6000	12
306343	1	12	0	9
306344	1	17032	0	12
306347	0	1326	600	15
306348	0	13744	7000	11
306356	1	10878	2800	12
306360	1	0	0	14
306363	0	7660	135	10
306364	1	0	7740	16
306366	1	41773	6000	12
306373	1	33472	6000	12
306374	0	6902	98	12
306375	1	6913	8000	13
306376	1	36785	5401	14
306383	1	17555	4800	15
306387	1	1475	5000	13
306388	0	14475	0	12
306393	1	46800	6888	13
306394	0	18643	6000	9
306397	0	0	0	12
306398	1	5460	4593	12
306399	1	0	0	11
306400	1	11074	1186	12
306402	1	69	6000	15
306403	0	8393	2992	9
306404	0	35784	3500	12
306406	1	13974	500	12
306408	0	1191	3000	10
306411	1	6111	4000	13
306414	0	7805	3200	11
306416	1	0	0	9
306418	1	0	0	12
306420	0	6873	3460	12
306424	1	21619	4000	12
306425	1	12614	5000	12
306430	1	21705	200	11
306431	1	17650	0	10
306432	1	7176	6000	9
306435	1	38271	1100	9
306445	1	8127	0	10
306450	1	42152	0	12
306452	1	11250	4200	10
306453	1	2952	0	12
306458	0	375	0	9
306459	1	9096	5000	8
306463	0	48896	1500	12
306465	1	0	0	9
306466	0	46	0	12
306470	1	13755	240	12
306471	1	693	3629	8
306472	0	6938	128	12
306473	1	50295	7900	12
306476	1	69682	3000	10
306478	0	8572	4300	9
306480	1	33885	1500	15
306482	1	0	3800	11
306487	1	1287	3000	12
306489	1	0	0	12
306491	1	9024	360	16
306494	1	6473	2400	12
306495	1	22683	0	9
306496	1	933	5720	12
306497	0	13011	1600	15
306498	1	4673	119	12
306500	0	14601	1500	12
306503	1	7992	3621	8
306507	1	1182	230	12
306510	1	13683	7900	12
306511	1	6000	2500	12
306516	1	18852	600	12
306520	1	11910	0	12
306522	0	20274	109	13
306526	1	25296	9000	12
306530	1	6615	0	13
306531	0	54386	5800	13
306537	1	47563	300	16
306541	1	59611	9812	13
306543	1	7596	17000	13
306544	1	18694	6220	9
306547	1	1228	1500	16
306548	1	7698	98	11
306550	1	26396	11705	9
306551	1	58230	10800	12
306552	1	0	0	12
306553	0	30279	0	8
306555	1	4827	0	12
306559	1	1286	0	10
306567	1	7757	4410	8
306573	1	556	2135	10
306575	0	18848	1624	8
306579	0	12600	4100	9
306586	0	7461	400	14
306587	1	27967	8040	13
306589	0	0	6000	13
306590	1	13680	4000	12
306591	1	34685	7500	14
306597	0	33846	4500	12
306602	0	0	0	8
306603	0	183	1200	10
306604	1	15117	0	8
306607	1	20636	1000	11
306612	1	25444	17000	11
306615	1	14859	112	11
306617	0	15049	0	12
306618	1	2631	0	12
306620	1	4039	0	12
306621	1	0	30	11
306622	1	17099	0	12
306625	1	1696	600	11
306627	0	5121	3850	12
306628	1	1935	1020	12
306633	1	24804	2000	12
306634	0	0	0	12
306637	1	12556	1704	10
306638	1	0	9000	12
306639	1	2868	600	11
306641	1	3150	5720	9
306642	1	22576	3360	11
306643	1	13105	0	12
306644	1	28373	600	8
306645	1	0	800	13
306646	1	24802	0	9
306647	1	0	3200	10
306650	0	31704	0	13
306651	1	17857	2000	12
306652	1	19506	300	12
306658	1	0	7800	12
306662	1	7953	0	12
306663	1	4461	0	12
306665	1	23552	6000	12
306666	0	0	0	9
306667	0	0	0	10
306668	1	0	170	12
306669	1	11169	0	9
306671	1	7155	3600	12
306672	1	9330	3500	9
306674	1	8403	2700	12
306678	0	13742	0	12
306680	1	3195	0	13
306681	1	6164	5811	12
306682	0	0	0	13
306683	1	0	0	12
306687	1	13029	452	14
306690	0	76911	1200	16
306695	0	24462	6000	13
306697	1	16374	14000	12
306699	0	0	600	12
306701	0	7288	300	11
306702	1	8609	3120	12
306704	1	9309	800	13
306705	0	544	5500	10
306706	1	3406	364	11
306708	1	32694	4000	14
306713	0	22490	0	13
306714	1	0	0	8
306719	0	4941	4320	14
306723	1	10401	340	18
306725	0	4692	112	12
306726	1	4869	98	12
306727	1	36850	4963	9
306729	0	933	1800	12
306734	0	1437	0	12
306735	1	0	0	10
306740	0	0	2262	10
306741	0	426	320	10
306742	0	246	655	12
306743	1	66	0	8
306746	0	77760	3200	10
306749	1	0	6000	17
306751	1	5229	6000	12
306752	0	1098	800	17
306754	1	3801	490	10
306755	1	4207	12000	10
306757	0	6305	5440	13
306761	1	48	0	16
306762	0	2658	5400	7
306764	0	4993	600	8
306765	1	588	368	12
306770	1	21547	4440	10
306772	1	32633	1500	12
306773	1	17194	5000	15
306774	0	1205	0	11
306776	1	5072	268	11
306780	1	23199	10000	12
306781	1	47356	6000	16
306783	1	18888	1600	11
306785	0	52638	4000	13
306787	0	49804	800	9
306790	1	43612	7259	8
306792	1	18415	0	12
306795	0	33179	1248	10
306800	1	6873	322	12
306801	0	58545	4160	12
306802	1	39030	10000	14
306803	0	3649	50	11
306807	0	71036	10000	17
306809	0	0	0	12
306814	1	9435	0	12
306815	1	3714	0	12
306822	0	8104	5600	12
306824	1	13643	4000	13
306826	0	19948	1600	12
306827	1	4258	0	11
306828	1	2828	0	16
306832	1	3162	0	11
306833	1	33250	3600	10
306834	1	21313	8000	12
306836	0	25668	7200	10
306837	1	864	2000	13
306839	1	31719	10636	11
306841	0	16827	6000	10
306842	1	160	0	11
306845	0	1680	102	11
306847	0	20694	14000	12
306850	1	26148	476	12
306851	1	0	0	13
306852	1	0	0	8
306853	0	0	0	17
306855	1	8418	2120	10
306856	0	10876	7000	12
306859	1	9198	600	11
306860	0	0	4800	11
306865	0	0	0	11
306866	1	468	2400	8
306869	0	0	0	8
306871	0	26016	2100	10
306873	0	5271	1280	11
306875	1	762	2800	9
306878	1	46855	3000	12
306882	0	6652	6500	12
306884	1	44	1900	11
306885	1	357	4000	13
306887	1	37689	10000	12
306888	1	5355	7072	12
306889	1	26508	0	12
306892	1	12114	6200	16
306894	1	12728	0	11
306897	1	1668	0	10
306898	0	15835	4500	14
306900	0	39597	2500	14
306903	1	14265	14000	12
306907	0	14860	860	12
306908	0	14283	0	12
306910	0	0	1900	8
306911	0	2250	0	12
306914	0	107	0	10
306917	1	0	0	10
306918	1	13385	0	12
306919	1	36690	300	9
306920	0	43797	3000	16
306922	1	35714	3720	12
306925	0	387	300	10
306926	1	3324	5330	11
306927	1	2907	4500	16
306930	1	2394	0	12
306932	1	10883	85	13
306935	0	18591	2469	13
306938	1	0	0	8
306947	0	25980	4000	16
306948	1	10676	400	11
306949	1	26292	0	17
306951	0	37644	9980	16
306953	1	6212	1300	14
306955	0	39564	2309	9
306958	1	1251	0	10
306960	0	0	0	17
306963	1	11079	8500	11
306965	1	30619	8000	11
306970	0	11767	1042	10
306971	0	15036	2700	12
306973	1	43313	6000	17
306974	1	17577	7000	12
306980	1	174	300	16
306982	1	38639	11500	11
306985	1	40181	6240	11
306986	1	0	6866	10
306989	1	7944	2620	14
306993	1	30080	100	12
306994	0	4003	2500	12
306995	1	0	0	9
306996	1	1197	335	12
306997	1	13002	0	12
307000	1	30841	2700	10
307001	0	10513	8464	12
307003	1	3276	0	12
307004	0	29265	7020	12
307006	0	51831	14000	13
307007	1	1464	6848	7
307011	1	3732	0	12
307012	1	19877	4600	12
307014	0	3838	575	11
307015	1	717	98	8
307016	1	72623	990	9
307017	1	21240	1000	10
307018	0	26877	3440	12
307020	1	5195	4760	10
307023	0	16851	5000	8
307024	1	8786	9040	12
307025	1	31040	370	11
307033	1	31230	6500	10
307036	1	0	98	8
307037	0	16324	0	10
307038	0	7799	0	8
307040	0	992	0	11
307041	1	7440	0	12
307044	1	13756	16000	11
307045	1	16471	0	12
307047	0	7172	4000	12
307049	1	62589	12000	13
307052	0	3710	2400	12
307053	1	19193	0	12
307059	1	0	5770	16
307063	0	8654	0	12
307064	0	28785	1300	12
307065	0	7247	0	12
307066	1	9704	1100	12
307067	1	6930	3360	12
307068	0	30068	0	14
307071	1	4941	5000	11
307072	1	13755	0	11
307073	1	30386	2100	9
307074	0	15929	6000	10
307078	1	0	4000	12
307086	1	4699	0	14
307087	1	1614	0	9
307090	0	5894	200	10
307091	1	0	0	9
307096	0	1522	3500	12
307098	1	18305	4500	10
307106	1	30807	5000	10
307107	1	19853	0	14
307108	0	2178	0	14
307115	1	16701	0	11
307119	1	468	3800	16
307120	0	32463	0	14
307125	1	10937	1300	11
307128	0	2166	7600	12
307132	1	51768	15000	16
307133	0	385	0	16
307136	1	12534	3200	12
307138	1	762	0	10
307140	1	3807	1200	12
307141	0	5670	8000	11
307142	1	366	0	12
307144	1	6083	3100	12
307146	1	2592	11000	12
307150	1	16557	0	12
307153	1	0	2285	9
307157	1	1879	1500	12
307162	1	142	10000	9
307163	1	25362	13984	13
307164	1	44261	300	11
307170	1	17500	2114	12
307171	1	0	246	12
307172	1	789	6000	12
307173	1	30696	0	12
307174	1	9900	8317	12
307177	1	3934	0	12
307180	1	8175	5000	12
307181	1	5887	5900	10
307183	0	0	15000	12
307184	1	6603	4800	14
307185	0	27813	0	12
307187	0	2175	1398	12
307190	0	6924	196	8
307191	1	28773	4860	12
307192	1	30761	5000	13
307193	1	2529	15504	12
307195	1	32891	6000	12
307196	0	0	0	9
307198	1	336	900	10
307199	1	14241	0	11
307201	0	61650	0	9
307202	0	6273	0	8
307206	1	216	2520	14
307209	0	9459	1000	11
307211	1	6458	1422	12
307213	1	37878	6380	16
307224	1	25116	3000	15
307227	1	0	162	12
307228	1	30964	6084	12
307232	1	16608	1100	12
307233	1	41472	1352	15
307236	0	31445	2900	12
307240	1	14711	1000	9
307241	1	32184	3353	17
307242	1	4524	0	14
307243	1	24404	0	11
307245	0	10190	7475	14
307248	1	17219	4500	12
307250	1	16887	10000	12
307251	0	321	0	12
307254	1	26684	4000	13
307256	1	16324	9000	11
307262	1	50928	9000	13
307265	1	0	0	10
307266	1	5460	0	12
307267	1	1515	0	9
307272	1	6965	680	15
307274	1	15146	0	10
307275	1	44018	12000	12
307279	0	39274	9600	11
307284	1	28413	0	10
307286	1	0	4400	10
307287	1	555	0	9
307289	1	1923	1470	8
307295	1	57561	16000	12
307296	1	46086	8000	8
307297	0	13072	3740	11
307300	1	49783	8000	10
307302	1	3794	0	12
307305	0	0	0	10
307306	1	25149	3000	11
307307	1	27931	0	12
307310	1	25500	0	9
307311	1	8977	2200	11
307315	1	20331	2400	10
307316	1	0	700	12
